
=== Training started at 2025-12-10 03:18:59 ===
Step 10: {'loss': 4.3209, 'grad_norm': 8.168756484985352, 'learning_rate': 4.986666666666667e-05, 'epoch': 0.008888888888888889}
Step 20: {'loss': 3.5372, 'grad_norm': 7.066354751586914, 'learning_rate': 4.971851851851852e-05, 'epoch': 0.017777777777777778}
Step 30: {'loss': 3.0172, 'grad_norm': 7.59269380569458, 'learning_rate': 4.9570370370370374e-05, 'epoch': 0.02666666666666667}
Step 40: {'loss': 2.6486, 'grad_norm': 8.644094467163086, 'learning_rate': 4.942222222222223e-05, 'epoch': 0.035555555555555556}
Step 50: {'loss': 2.3366, 'grad_norm': 6.687088489532471, 'learning_rate': 4.927407407407408e-05, 'epoch': 0.044444444444444446}
Step 60: {'loss': 2.1551, 'grad_norm': 7.500741481781006, 'learning_rate': 4.912592592592593e-05, 'epoch': 0.05333333333333334}
Step 70: {'loss': 1.9127, 'grad_norm': 6.007360935211182, 'learning_rate': 4.897777777777778e-05, 'epoch': 0.06222222222222222}
Step 80: {'loss': 1.9569, 'grad_norm': 6.606240272521973, 'learning_rate': 4.882962962962963e-05, 'epoch': 0.07111111111111111}
Step 90: {'loss': 1.7164, 'grad_norm': 5.983922958374023, 'learning_rate': 4.8681481481481485e-05, 'epoch': 0.08}
Step 100: {'loss': 1.6873, 'grad_norm': 6.693104267120361, 'learning_rate': 4.853333333333334e-05, 'epoch': 0.08888888888888889}
Step 110: {'loss': 1.7177, 'grad_norm': 5.794921875, 'learning_rate': 4.838518518518519e-05, 'epoch': 0.09777777777777778}
Step 120: {'loss': 1.6681, 'grad_norm': 5.548788070678711, 'learning_rate': 4.8237037037037045e-05, 'epoch': 0.10666666666666667}
Step 130: {'loss': 1.5335, 'grad_norm': 4.899167537689209, 'learning_rate': 4.808888888888889e-05, 'epoch': 0.11555555555555555}
Step 140: {'loss': 1.6776, 'grad_norm': 5.207950115203857, 'learning_rate': 4.7940740740740744e-05, 'epoch': 0.12444444444444444}
Step 150: {'loss': 1.53, 'grad_norm': 5.745246410369873, 'learning_rate': 4.77925925925926e-05, 'epoch': 0.13333333333333333}
Step 160: {'loss': 1.5858, 'grad_norm': 4.961906433105469, 'learning_rate': 4.764444444444445e-05, 'epoch': 0.14222222222222222}
Step 170: {'loss': 1.6522, 'grad_norm': 5.421715259552002, 'learning_rate': 4.74962962962963e-05, 'epoch': 0.1511111111111111}
Step 180: {'loss': 1.5799, 'grad_norm': 6.1207990646362305, 'learning_rate': 4.7348148148148156e-05, 'epoch': 0.16}
Step 190: {'loss': 1.5833, 'grad_norm': 4.971269607543945, 'learning_rate': 4.72e-05, 'epoch': 0.1688888888888889}
