=== Training started at 2025-12-11 01:18:04 ===
Step 10: {'loss': 3.9368, 'grad_norm': 1.5187633037567139, 'learning_rate': 0.0004986666666666667, 'epoch': 0.008888888888888889}
Step 20: {'loss': 3.1443, 'grad_norm': 1.921229362487793, 'learning_rate': 0.0004971851851851851, 'epoch': 0.017777777777777778}
Step 30: {'loss': 2.6153, 'grad_norm': 2.305107831954956, 'learning_rate': 0.0004957037037037037, 'epoch': 0.02666666666666667}
Step 40: {'loss': 2.2869, 'grad_norm': 2.3213038444519043, 'learning_rate': 0.0004942222222222223, 'epoch': 0.035555555555555556}
Step 50: {'loss': 2.0649, 'grad_norm': 1.9509708881378174, 'learning_rate': 0.0004927407407407407, 'epoch': 0.044444444444444446}
Step 60: {'loss': 1.9049, 'grad_norm': 2.3734796047210693, 'learning_rate': 0.0004912592592592593, 'epoch': 0.05333333333333334}
Step 70: {'loss': 1.6621, 'grad_norm': 2.317460298538208, 'learning_rate': 0.0004897777777777778, 'epoch': 0.06222222222222222}
Step 80: {'loss': 1.733, 'grad_norm': 2.615285873413086, 'learning_rate': 0.0004882962962962962, 'epoch': 0.07111111111111111}
Step 90: {'loss': 1.5233, 'grad_norm': 1.8052304983139038, 'learning_rate': 0.0004868148148148148, 'epoch': 0.08}
Step 100: {'loss': 1.4869, 'grad_norm': 1.5270277261734009, 'learning_rate': 0.00048533333333333333, 'epoch': 0.08888888888888889}
Step 110: {'loss': 1.5019, 'grad_norm': 1.5532441139221191, 'learning_rate': 0.0004838518518518519, 'epoch': 0.09777777777777778}
Step 120: {'loss': 1.4751, 'grad_norm': 1.4558286666870117, 'learning_rate': 0.0004823703703703704, 'epoch': 0.10666666666666667}
Step 130: {'loss': 1.3302, 'grad_norm': 1.4693628549575806, 'learning_rate': 0.0004808888888888889, 'epoch': 0.11555555555555555}
Step 140: {'loss': 1.428, 'grad_norm': 1.5813913345336914, 'learning_rate': 0.0004794074074074074, 'epoch': 0.12444444444444444}
Step 150: {'loss': 1.3144, 'grad_norm': 2.211899518966675, 'learning_rate': 0.0004779259259259259, 'epoch': 0.13333333333333333}
Step 160: {'loss': 1.3447, 'grad_norm': 1.2929925918579102, 'learning_rate': 0.0004764444444444445, 'epoch': 0.14222222222222222}
Step 170: {'loss': 1.4144, 'grad_norm': 1.2812739610671997, 'learning_rate': 0.000474962962962963, 'epoch': 0.1511111111111111}
Step 180: {'loss': 1.294, 'grad_norm': 1.2392863035202026, 'learning_rate': 0.0004734814814814815, 'epoch': 0.16}
Step 190: {'loss': 1.3312, 'grad_norm': 1.290372610092163, 'learning_rate': 0.000472, 'epoch': 0.1688888888888889}
Step 200: {'loss': 1.3, 'grad_norm': 1.2196334600448608, 'learning_rate': 0.0004705185185185185, 'epoch': 0.17777777777777778}
Step 210: {'loss': 1.2787, 'grad_norm': 3.055051326751709, 'learning_rate': 0.000469037037037037, 'epoch': 0.18666666666666668}
Step 220: {'loss': 1.2029, 'grad_norm': 1.3616713285446167, 'learning_rate': 0.0004675555555555556, 'epoch': 0.19555555555555557}
Step 230: {'loss': 1.2205, 'grad_norm': 1.2705802917480469, 'learning_rate': 0.0004660740740740741, 'epoch': 0.20444444444444446}
Step 240: {'loss': 1.1563, 'grad_norm': 1.7211823463439941, 'learning_rate': 0.0004645925925925926, 'epoch': 0.21333333333333335}
Step 250: {'loss': 1.2203, 'grad_norm': 1.0735671520233154, 'learning_rate': 0.0004631111111111111, 'epoch': 0.2222222222222222}
Step 260: {'loss': 1.3152, 'grad_norm': 0.9877790212631226, 'learning_rate': 0.0004616296296296296, 'epoch': 0.2311111111111111}
